name,departamento,departamento_deparamento_id,muncipio_id
CONCEPCION DE LA SIERRA,CONCEPCION,209,2118
CONCEPCION DEL BERMEJO,ALMIRANTE BROWN,5,2119
CONCEPCION DEL URUGUAY,URUGUAY,231,2120
CONCEPCION DEL YAGUARETE CORA,CONCEPCION,209,2121
CONCORDIA,CONCORDIA,233,2122
CONHELO,CONHELO,263,2123
CONLARA,SAN JAVIER,398,2124
CONSCRIPTO BERNARDI,FEDERAL,222,2125
CONSTANZA,SAN CRISTOBAL,393,2126
CONTRALMIRANTE CORDERO,GENERAL ROCA,188,2127
COPACABANA,ISCHILIN,176,2128
CORANZULI,SUSQUES,253,2129
CORCOVADO,FUTALEUFU,151,2130
CORDOBA,CAPITAL,413,2131
CORONDA,SAN JERONIMO,399,2132
CORONEL ARNOLD,SAN LORENZO,406,2133
CORONEL BAIGORRIA,RIO CUARTO,193,2134
CORONEL BELISLE,AVELLANEDA,419,2135
CORONEL BOGADO,ROSARIO,392,2136
CORONEL DE MARINA L ROSALES,CORONEL DE MARINA L ROSALES,71,2137
CORONEL DOMINGUEZ,ROSARIO,392,2138
CORONEL DORREGO,CORONEL DORREGO,31,2139
CORONEL DU GRATY,MAYOR LUIS J FONTANA,132,2140
CORONEL FELIPE VARELA,CORONEL FELIPE VARELA,289,2141
CORONEL FRAGA,CASTELLANOS,390,2142
CORONEL HILARIO LAGOS,CHAPALEUFU,267,2143
CORONEL MOLDES,RIO CUARTO,193,2144
CORONEL PRINGLES,CORONEL PRINGLES,375,2145
CORONEL SUAREZ,CORONEL SUAREZ,109,2146
CORPUS,SAN IGNACIO,307,2147
CORRAL DE BUSTOS,MARCOS JUAREZ,183,2148
CORRAL QUEMADO,BELEN,117,2149
CORRALITO,TERCERO ARRIBA,190,2150
CORREA,IRIONDO,389,2151
CORRIENTES,CAPITAL,413,2152
CORTADERAS,CHACABUCO,378,2153
CORZUELA,GENERAL BELGRANO,131,2154
COSQUIN,PUNILLA,186,2155
COSTA GRANDE,DIAMANTE,224,2156
COSTA SACATE,RIO SEGUNDO,187,2157
COSTA URUGUAY NORTE,GUALEGUAYCHU,223,2158
COSTA URUGUAY SUR,GUALEGUAYCHU,223,2159
COTE LAI,TAPENAGA,143,2160
COVUNCO ABAJO,ZAPALA,329,2161
COYUCO COCHICO,CHOS MALAL,319,2162
CRESPO,PARANA,229,2163
CRISPI,SAN MARTIN,396,2164
CRUCESITAS OCTAVA,NOGOYA,228,2165
CRUCESITAS TERCERA,NOGOYA,228,2166
CRUZ ALTA,MARCOS JUAREZ,183,2167
CRUZ DE CAÑA,CRUZ DEL EJE,194,2168
CRUZ DE LOS MILAGROS,LAVALLE,198,2169
CRUZ DEL EJE,CRUZ DEL EJE,194,2170
CUATRO BOCAS,BELGRANO,403,2171
CUBANEA,ADOLFO ALSINA,335,2172
